pt1_cam1_Z,pt1_cam2_X,pt1_cam2_Y,pt2_cam1_Z,pt2_cam2_X,pt2_cam2_Y
332.07,524.93,453.25,302.03,820.32,455.13
332.07,524.89,453.27,302.02,820.14,455.68
332.08,524.86,453.26,302.01,820.16,455.98
332.05,524.84,453.26,302.03,820.31,456.17
332.05,524.79,453.28,302.03,820.1,456.68
332.05,524.77,453.29,302.01,820.15,457
332.05,524.71,453.31,302.02,820.26,457.19
332.04,524.68,453.32,301.997444,820.09,457.66
332.04,524.29,453.78,301.99,820.12,457.98
332.01,524.06,454.07,302.01,820.25,458.17
332,524.03,454.07,301.99,820.05,458.73
332.01,524.02,454.07,301.99,820.1,459.01
332,523.99,454.08,301.997444,820.18,459.2
331.99,523.96,454.09,301.98,820.04,459.72
331.98,523.93,454.09,301.997444,820.07,460.01
331.99,523.91,454.1,302,820.17,460.2
332.4,523.87,454.09,302.02,820.01,460.69
332.91,523.83,454.1,302.02,820.06,460.99
332.9,523.79,454.13,302.03,820.13,461.19
332.9,523.74,454.15,302.01,820.02,461.65
332.91,523.68,454.16,302,820.03,461.97
332.89,523.65,454.18,302,820.15,462.16
332.87,523.54,454.23,302,819.99,462.64
332.88,523.11,454.61,301.997444,819.99,462.97
332.88,523,454.94,302.01,820.09,463.16
332.86,522.98,454.93,302.02,819.98,463.57
332.86,522.96,454.94,301.997444,819.97,463.96
332.84,522.94,454.95,302.01,820.06,464.11
332.84,522.91,454.95,302.02,820.09,464.39
332.82,522.89,454.96,303.259526,819.92,464.94
332.82,522.86,454.96,303.259526,820.03,465.08
332.82,522.82,454.96,303,820.06,465.3
332.79,522.78,454.98,303.04,819.89,465.88
332.8,522.74,454.97,303.02,819.99,466.02
332.79,522.68,455,303.04,820.04,466.22
332.77,522.63,455.02,303.01,819.83,466.72
332.76,522.55,455.03,303.01,819.87,467
332.75,522.22,455.18,303.259526,819.95,467.19
332.74,522.2,455.18,303,819.93,467.5
332.78,522.16,455.18,302.98,819.78,467.96
333.09,522.13,455.19,303.01,819.92,468.11
333.08,522.1,455.22,303.259526,819.93,468.38
333.05,522.08,455.2,303.01,819.75,468.9
333.06,522.05,455.21,302.98,819.86,469.02
333.05,522.02,455.2,303,819.93,469.2
333.03,522,455.21,303.259526,818.021029,470.809921
333.05,521.97,455.21,302.98,817.18,471.76
333.01,521.94,455.2,303,816.95,472.06
333.01,521.91,455.21,303.259526,817.37,472.11
333.01,521.88,455.21,303,817.98,472.04
332.99,521.84,455.19,303.259526,818.6,472.03
332.97,521.8,455.22,303.02,818.74,472.15
332.97,521.74,455.24,303.01,818.11,472.82
332.96,521.69,455.25,304.521608,817.93,473.12
332.98,521.63,455.28,304.521608,817.73,473.56
333.24,521.25,455.69,305,817.53,473.94
333.22,521,456.01,305.01,817.13,474.26
333.21,520.98,456.03,305,816.92,474.79
333.2,520.95,456.02,305.02,816.98,474.94
333.17,520.92,456.02,304.99,817.01,475.08
333.14,520.9,456.02,305.01,817.09,475.29
333.12,520.85,456.02,305.78369,816.9,475.67
